Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0040053,2020-09-30,2020-09-30,,Toast of the Town,https://www.imdb.com/title/tt0040053/,tvSeries,7.9,60,1948,"Music, Talk-Show",1457,1948-06-20,
2,tt0041030,2020-09-30,2020-09-30,,Hopalong Cassidy,https://www.imdb.com/title/tt0041030/,tvSeries,7.7,60,1952,"Family, Western",349,1952-09-19,
3,tt0041038,2020-09-30,2020-09-30,,The Lone Ranger,https://www.imdb.com/title/tt0041038/,tvSeries,7.7,30,1949,Western,2608,1949-09-15,
4,tt0042111,2020-09-30,2020-09-30,,The George Burns and Gracie Allen Show,https://www.imdb.com/title/tt0042111/,tvSeries,8.6,30,1950,Comedy,1448,1950-10-12,
5,tt0042116,2020-09-30,2020-09-30,,The Jack Benny Program,https://www.imdb.com/title/tt0042116/,tvSeries,8.6,30,1950,Comedy,1519,1950-10-28,
6,tt0042168,2020-09-30,2020-09-30,,What's My Line?,https://www.imdb.com/title/tt0042168/,tvSeries,8.5,30,1950,"Family, Game-Show",1649,1950-02-02,
7,tt0042173,2020-09-30,2020-09-30,,Your Show of Shows,https://www.imdb.com/title/tt0042173/,tvSeries,8.7,90,1950,Comedy,352,1950-02-25,
8,tt0043194,2020-09-30,2020-09-30,,Dragnet,https://www.imdb.com/title/tt0043194/,tvSeries,7.5,30,1951,"Crime, Drama, Mystery",2176,1951-12-16,
9,tt0043208,2020-09-30,2020-09-30,,I Love Lucy,https://www.imdb.com/title/tt0043208/,tvSeries,8.5,30,1951,"Comedy, Family",27209,1951-10-15,
10,tt0256573,2020-09-30,2020-09-30,,Sua Vida Me Pertence,https://www.imdb.com/title/tt0256573/,tvSeries,6.8,,1951,,7,1951-12-21,
11,tt0049993,2020-09-30,2020-09-30,,Bandstand,https://www.imdb.com/title/tt0049993/,tvSeries,7.6,90,1952,"Music, Talk-Show",366,1952-10-13,
12,tt0044296,2020-09-30,2020-09-30,,This Is Your Life,https://www.imdb.com/title/tt0044296/,tvSeries,7.0,30,1950,"Biography, Family, Reality-TV",303,1952-10-01,
13,tt0044231,2020-09-30,2020-09-30,,Adventures of Superman,https://www.imdb.com/title/tt0044231/,tvSeries,7.7,30,1952,"Action, Adventure, Crime, Family, Sci-Fi",4086,1952-09-19,
14,tt0337799,2020-09-30,2020-09-30,,The Academy of Motion Picture Arts & Sciences 25th Annual Academy Awards,https://www.imdb.com/title/tt0337799/,tvSpecial,6.7,,1953,News,203,1953-03-19,Bill Bennington
15,tt0045436,2020-09-30,2020-09-30,,The Quatermass Experiment,https://www.imdb.com/title/tt0045436/,tvSeries,7.2,30,1953,"Drama, Sci-Fi, Horror, Thriller",386,1953-07-18,
16,tt0480300,2020-09-30,2020-09-30,,The Good Old Days,https://www.imdb.com/title/tt0480300/,tvSeries,6.8,60,1953,"Comedy, Musical",84,1953-07-20,
17,tt0045410,2020-09-30,2020-09-30,,Make Room for Daddy,https://www.imdb.com/title/tt0045410/,tvSeries,7.1,30,1953,"Comedy, Family",1140,1953-09-29,
18,tt0240262,2020-09-30,2020-09-30,,Fabian of the Yard,https://www.imdb.com/title/tt0240262/,tvSeries,7.8,30,1954,"Crime, Drama",22,1954-11-13,
19,tt0046600,2020-09-30,2020-09-30,,Father Knows Best,https://www.imdb.com/title/tt0046600/,tvSeries,7.4,30,1954,"Comedy, Family",2417,1954-10-03,
20,tt0050030,2020-09-30,2020-09-30,,Tonight Starring Jack Paar,https://www.imdb.com/title/tt0050030/,tvSeries,8.3,105,1957,"Comedy, Family, Talk-Show",313,1957-07-29,
21,tt0047708,2020-09-30,2020-09-30,,Alfred Hitchcock Presents,https://www.imdb.com/title/tt0047708/,tvSeries,8.5,25,1955,"Comedy, Crime, Drama, Horror, Mystery, Thriller",17779,1955-10-02,
22,tt0047728,2020-09-30,2020-09-30,,Dixon of Dock Green,https://www.imdb.com/title/tt0047728/,tvSeries,6.7,45,1955,"Crime, Drama",265,1955-07-09,
23,tt0047736,2020-09-30,2020-09-30,,Gunsmoke,https://www.imdb.com/title/tt0047736/,tvSeries,8.1,60,1955,Western,7584,1955-09-10,
24,tt0047706,2020-09-30,2020-09-30,,The Adventures of Robin Hood,https://www.imdb.com/title/tt0047706/,tvSeries,7.6,30,1955,"Action, Adventure, Family",811,1955-09-26,
25,tt0386156,2020-09-30,2020-09-30,,The Benny Hill Show,https://www.imdb.com/title/tt0386156/,tvSeries,7.7,60,1955,Comedy,908,1955-01-15,
26,tt0042114,2020-09-30,2020-09-30,,The Honeymooners,https://www.imdb.com/title/tt0042114/,tvSeries,8.6,30,1955,"Comedy, Family",5716,1955-10-01,
27,tt0155452,2020-09-30,2020-09-30,,Was bin ich?,https://www.imdb.com/title/tt0155452/,tvSeries,8.1,,1955,Game-Show,77,1955-01-02,
28,tt0047763,2020-09-30,2020-09-30,,The Phil Silvers Show,https://www.imdb.com/title/tt0047763/,tvSeries,8.4,30,1955,"Comedy, Family",1629,1955-09-20,
29,tt0390988,2020-09-30,2020-09-30,,Concours eurovision,https://www.imdb.com/title/tt0390988/,tvSpecial,,,1956,Music,,,
30,tt0307789,2020-09-30,2020-09-30,,The Nat King Cole Show,https://www.imdb.com/title/tt0307789/,tvSeries,8.5,15,1956,Music,65,1956-11-05,
31,tt0124703,2020-09-30,2020-09-30,,Hancock's Half Hour,https://www.imdb.com/title/tt0124703/,tvSeries,8.5,30,1956,Comedy,548,1956-07-06,
32,tt0048894,2020-09-30,2020-09-30,,The Price Is Right,https://www.imdb.com/title/tt0048894/,tvSeries,7.1,30,1956,"Family, Game-Show",264,1956-11-26,
33,tt0159870,2020-09-30,2020-09-30,,Emergency-Ward 10,https://www.imdb.com/title/tt0159870/,tvSeries,6.7,30,1957,Drama,62,1957-02-19,
34,tt2689914,2020-09-30,2020-09-30,,Il musichiere,https://www.imdb.com/title/tt2689914/,tvSeries,5.6,,1957,Game-Show,5,1957-12-07,
35,tt0050032,2020-09-30,2020-09-30,,Leave It to Beaver,https://www.imdb.com/title/tt0050032/,tvSeries,7.6,30,1957,"Comedy, Family",8576,1957-04-23,
36,tt0050037,2020-09-30,2020-09-30,,Maverick,https://www.imdb.com/title/tt0050037/,tvSeries,8.0,60,1957,"Comedy, Western",3333,1957-09-22,
