Charlton Heston,nm0000032,My Father,2003,204,6.6,tt0293495

Alan Ladd,nm0000042,The Carpetbaggers,1964,2012,6.6,tt0057917

Burt Lancaster,nm0000044,Vengeance Valley,1951,2000,5.9,tt0044186

Sophia Loren,nm0000047,Nine,2009,42551,5.8,tt0875034

Robert Mitchum,nm0000053,Rachel and the Stranger,1948,2011,7,tt0040720

Paul Newman,nm0000056,The Meerkats,2008,1497,7.4,tt0892391

Anthony Quinn,nm0000063,The Plainsman,1936,2010,6.9,tt0028108

Edward G. Robinson,nm0000064,Soylent Green,1973,57769,7.1,tt0070723

Jane Russell,nm0000066,Darker Than Amber,1970,444,6.2,tt0065610

Randolph Scott,nm0000068,Ride the High Country,1962,12227,7.5,tt0056412

Frank Sinatra,nm0000069,Cannonball Run II,1984,15072,5.1,tt0087032

James Stewart,nm0000071,An American Tail: Fievel Goes West,1991,23871,6.5,tt0101329

Elizabeth Taylor,nm0000072,The Flintstones,1994,76409,4.9,tt0109813

Shirley Temple,nm0000073,The Story of Seabiscuit,1949,734,6.2,tt0041923

Gene Tierney,nm0000074,The Pleasure Seekers,1964,625,5.7,tt0058479

Spencer Tracy,nm0000075,Guess Who's Coming to Dinner,1967,40255,7.8,tt0061735

Francois Truffaut,nm0000076,The Green Room,1978,2709,7,tt0077315

John Wayne,nm0000078,The Shootist,1976,22409,7.6,tt0075213

Raquel Welch,nm0000079,How to Be a Latin Lover,2017,14516,6,tt4795124

Orson Welles,nm0000080,Someone to Love,1987,360,5.9,tt0094007

Natalie Wood,nm0000081,Brainstorm,1983,11026,6.4,tt0085271

Gong Li,nm0000084,Mulan,2020,116927,5.6,tt4566758

John Cleese,nm0000092,The Very Excellent Mr. Dundee,2020,1091,4.9,tt8560172

Brad Pitt,nm0000093,Once Upon a Time... In Hollywood,2019,569358,7.6,tt7131622

Woody Allen,nm0000095,Cafe Society,2016,72112,6.6,tt4513674

Gillian Anderson,nm0000096,The Sunlit Night,2019,1088,6.1,tt8368394

Pamela Anderson,nm0000097,City Hunter,2018,3691,6.5,tt8523334

Jennifer Aniston,nm0000098,Murder Mystery,2019,105385,6,tt1618434

Patricia Arquette,nm0000099,Toy Story 4,2019,208751,7.8,tt1979376

Rowan Atkinson,nm0000100,Johnny English Strikes Again,2018,65673,6.2,tt6921996

